Source-CPFAnchor-ID	SNAC-CPFAnchor-ID	Role	ArcRole	Source-CPFTarget-ID	SNAC-CPFTarget-ID
nypl2019.24928.r004		person	associatedWith	nypl2019.24928.c01	
nypl2019.24928.r005		person	associatedWith	nypl2019.24928.c01	
nypl2019.24928.r006		person	associatedWith	nypl2019.24928.c01	
nypl2019.25767.c01		person	associatedWith	nypl2019.25767.r001	
nypl2019.25767.r001		person	associatedWith	nypl2019.25767.c01	
nypl2019.24874.c01		person	associatedWith	nypl2019.24874.r001	
nypl2019.24874.r001		person	associatedWith	nypl2019.24874.c01	
nypl2019.25764.c01		person	associatedWith	nypl2019.25764.r001	
nypl2019.25764.c01		person	associatedWith	nypl2019.25764.r002	
nypl2019.25764.c01		person	associatedWith	nypl2019.25764.r003	
nypl2019.25764.c01		person	associatedWith	nypl2019.25764.r004	
nypl2019.25764.c01		person	associatedWith	nypl2019.25764.r005	
nypl2019.25764.c01		person	associatedWith	nypl2019.25764.r006	
nypl2019.25764.c01		person	associatedWith	nypl2019.25764.r007	
nypl2019.25764.c01		corporateBody	associatedWith	nypl2019.25764.r008	
nypl2019.25764.r001		person	associatedWith	nypl2019.25764.c01	
nypl2019.25764.r002		person	associatedWith	nypl2019.25764.c01	
nypl2019.25764.r003		person	associatedWith	nypl2019.25764.c01	
nypl2019.25764.r004		person	associatedWith	nypl2019.25764.c01	
nypl2019.25764.r005		person	associatedWith	nypl2019.25764.c01	
nypl2019.25764.r006		person	associatedWith	nypl2019.25764.c01	
nypl2019.25764.r007		person	associatedWith	nypl2019.25764.c01	
nypl2019.25764.r008		person	associatedWith	nypl2019.25764.c01	
nypl2019.24888.c01		person	associatedWith	nypl2019.24888.r001	
nypl2019.24888.c01		person	correspondedWith	nypl2019.24888.r002	
nypl2019.24888.r001		person	associatedWith	nypl2019.24888.c01	
nypl2019.24888.r002		person	correspondedWith	nypl2019.24888.c01	
nypl2019.24877.c01		corporateBody	associatedWith	nypl2019.24877.r001	
nypl2019.24877.r001		person	associatedWith	nypl2019.24877.c01	
nypl2019.24862.c01		person	correspondedWith	nypl2019.24862.r001	
nypl2019.24862.c01		person	correspondedWith	nypl2019.24862.r002	
