id,snac_resource_url,type,title,display_entry,abstract,link,extent,repo_ic_id,related_constellation_id,related_name,arcrole,related_constellation_url
7667080,https://snac-dev.iath.virginia.edu/vocab_administrator/resources/7667080,696,"John Emmett Berns collection of ""Packer Jack"" Newman photographs, ca. 1898 and 1929 [graphic]. ca. 1898 and 1929.","Berns, John Emmett. John Emmett Berns collection of ""Packer Jack"" Newman photographs, ca. 1898 and 1929 [graphic].","The collection contains images relating to the life of John ""Packer Jack"" Newman, including his experiences in the Klondike gold rush and his work on creating a monument to the pack animals that died on the White Pass trail. ",http://www.worldcat.org/oclc/53328748,26 photographic prints (postcards) : b&w ; various sizes.,76788641,35137910,"Newman, John, 1863-1931",referencedIn,http://snac-dev.iath.virginia.edu/view/35137910
,,,,,,,,,36956081,"Berns, John Emmett.",creatorOf,http://snac-dev.iath.virginia.edu/view/36956081
7518068,https://snac-dev.iath.virginia.edu/vocab_administrator/resources/7518068,696,Mapa de la villa de Chillon [Material cartográfico] [Manuel Gómez Astorga]. [Chillon y Maio 28 de 1793],"Gómez Astorga, Manuel. Mapa de la villa de Chillon [Material cartográfico] [Manuel Gómez Astorga].",,http://www.worldcat.org/oclc/431728429,"1 mapa ms. a tinta 20,5 x 31,5 cm.",76761830,9948998,"Cabell, Roy E.",creatorOf,http://snac-dev.iath.virginia.edu/view/9948998
6289428,https://snac-dev.iath.virginia.edu/vocab_administrator/resources/6289428,696,"Correspondence of Sir Gilbert Elliot, 1st Earl of Minto, and Robert Dundas, 2nd Viscount Melville 1807-1812","Correspondence of Sir Gilbert Elliot, 1st Earl of Minto, and Robert Dundas, 2nd Viscount Melville, 1807-1812",,http://archiveshub.ac.uk/data/gb206-brothertoncollectionmsmisc.letters1minto,"83 items held in 3 boxes, manuscript.",76793306,72034191,"Minto, Gilbert Elliot-Murray-Kynynmound, 1st Earl of, 1751-1814",creatorOf,http://snac-dev.iath.virginia.edu/view/72034191
,,,,,,,,,36613013,"Raffles, Thomas Stamford, Sir, 1781-1826",referencedIn,http://snac-dev.iath.virginia.edu/view/36613013
,,,,,,,,,3668794,"Melville, Robert Saunders Dundas, Viscount, 1771-1851",referencedIn,http://snac-dev.iath.virginia.edu/view/3668794
7457526,https://snac-dev.iath.virginia.edu/vocab_administrator/resources/7457526,696,"Sanborn Map Company's insurance maps of Boulder, Colorado, 1918. 1918.","Sanborn Map Company. Sanborn Map Company's insurance maps of Boulder, Colorado, 1918.",,http://www.worldcat.org/oclc/427292775,1 v. (22 plates),76762312,28292530,Sanborn Map Company,creatorOf,http://snac-dev.iath.virginia.edu/view/28292530
6374646,https://snac-dev.iath.virginia.edu/vocab_administrator/resources/6374646,696,George W. Brown diary 1865,"George W. Brown diary, 1865","Manuscript diary, 1 v, June 1-July 27 1865, written by George W. Brown, Assistant Warden, Oregon State Penitentiary.",http://nwda.orbiscascade.org/ark:/80444/xv58374,.02 cubic feet (1 folder),76795075,37698066,Oregon State Penitentiary,referencedIn,http://snac-dev.iath.virginia.edu/view/37698066
,,,,,,,,,58359123,"Brown, George W.",creatorOf,http://snac-dev.iath.virginia.edu/view/58359123
6464617,https://snac-dev.iath.virginia.edu/vocab_administrator/resources/6464617,696,Records of the Environmental Protection Agency. 1944 - 2006. DOCUMERICA: The Environmental Protection Agency's Program to Photographically Document Subjects of Environmental Concern. 1972 - 1977. TRAFFIC LEADING INTO HOLLAND TUNNEL,Records of the Environmental Protection Agency. 1944 - 2006. DOCUMERICA: The Environmental Protection Agency's Program to Photographically Document Subjects of Environmental Concern. 1972 - 1977. TRAFFIC LEADING INTO HOLLAND TUNNEL,,https://catalog.archives.gov/id/548419,,,25372023,"Higgins, Chester Archer, Jr. (American photographer, born 1946)",creatorOf,http://snac-dev.iath.virginia.edu/view/25372023
