CountofExhibtions,ID,MoMACEMSID,ConstituentType,AlphaSortName,DisplayName,FirstName,MiddleName,LastName,Institution,Suffix,Nationality,BeginYear,EndYear,DisplayBio,Gender,VIAFID,WikidataQID,ULANID,SNACID,URL
114,1431,1500,Individual,Derain André,André Derain,André,,Derain,,,French,1880,1954,"French, 1880–1954",Male,2469239,Q156272,500004535,10415885,http://www.moma.org/collection/artists/1500
113,5174,5383,Individual,Sheeler Charles,Charles Sheeler,Charles,,Sheeler,,,American,1883,1965,"American, 1883–1965",Male,29542632,Q624868,500115325,9031100,http://www.moma.org/collection/artists/5383
112,5402,5623,Individual,Steichen Edward,Edward Steichen,Edward,,Steichen,,,American,1879,1973,"American, born Luxembourg. 1879–1973",Male,73926135,Q313899,500000431,74987798,http://www.moma.org/collection/artists/5623
110,3899,4057,Individual,Mondrian Piet,Piet Mondrian,Piet,,Mondrian,,,Dutch,1872,1944,"Dutch, 1872–1944",Male,54151650,Q151803,500004972,20584701,http://www.moma.org/collection/artists/4057
110,3890,4048,Individual,Moholy-Nagy László,László Moholy-Nagy,László,,Moholy-Nagy,,,American,1895,1946,"American, born Hungary. 1895–1946",Male,22203431,Q160448,500004274,52882132,http://www.moma.org/collection/artists/4048
109,2987,3115,Individual,Kirchner Ernst Ludwig,Ernst Ludwig Kirchner,Ernst,Ludwig,Kirchner,,,German,1880,1938,"German, 1880–1938",Male,9888581,Q229272,500027704,28614982,http://www.moma.org/collection/artists/3115
109,2279,2374,Individual,Grosz George,George Grosz,George,,Grosz,,,American,1893,1959,"American, born Germany. 1893–1959",Male,12309408,Q107194,500014558,63505349,http://www.moma.org/collection/artists/2374
109,3392,3542,Individual,Lichtenstein Roy,Roy Lichtenstein,Roy,,Lichtenstein,,,American,1923,1997,"American, 1923–1997",Male,66470256,Q151679,500013596,72742908,http://www.moma.org/collection/artists/3542
109,4487,4675,Individual,Pollock Jackson,Jackson Pollock,Jackson,,Pollock,,,American,1912,1956,"American, 1912–1956",Male,12316903,Q37571,500015134,9769098,http://www.moma.org/collection/artists/4675
109,4075,4243,Individual,Nauman Bruce,Bruce Nauman,Bruce,,Nauman,,,American,1941,,"American, born 1941",Male,29597866,Q168665,500118742,43904312,http://www.moma.org/collection/artists/4243
108,27065,26020,Individual,London Barbara,Barbara London,Barbara,,London,,,,,,,,,,,,
108,3667,3821,Individual,Masson André,André Masson,André,,Masson,,,French,1896,1987,"French, 1896–1987",Male,36926103,Q312529,500030295,38083828,http://www.moma.org/collection/artists/3821
108,5159,5366,Individual,Shahn Ben,Ben Shahn,Ben,,Shahn,,,American,1898,1969,"American, born Lithuania. 1898–1969",Male,17268935,Q695239,500005524,30589473,http://www.moma.org/collection/artists/5366
106,406,429,Individual,Beckmann Max,Max Beckmann,Max,,Beckmann,,,German,1884,1950,"German, 1884–1950",Male,46775885,Q164683,500024106,47461296,http://www.moma.org/collection/artists/429
106,1487,1559,Individual,Dix Otto,Otto Dix,Otto,,Dix,,,German,1891,1969,"German, 1891–1969",Male,46769170,Q153104,500028047,18880684,http://www.moma.org/collection/artists/1559
106,2255,2349,Individual,Gris Juan,Juan Gris,Juan,,Gris,,,Spanish,1887,1927,"Spanish, 1887–1927",Male,49245334,Q151152,500015362,16902220,http://www.moma.org/collection/artists/2349
106,1559,1634,Individual,Duchamp Marcel,Marcel Duchamp,Marcel,,Duchamp,,,American,1887,1968,"American, born France. 1887–1968",Male,36917441,Q5912,500115393,54154794,http://www.moma.org/collection/artists/1634
104,887,922,Individual,Calder Alexander,Alexander Calder,Alexander,,Calder,,,American,1898,1976,"American, 1898–1976",Male,96096,Q151580,500007824,73940681,http://www.moma.org/collection/artists/922
102,9022,10244,Individual,Lieberman William S.,William S. Lieberman,William,S.,Lieberman,,,American,1923,2005,"American, 1923–2005",Male,109190713,Q19997602,,,
101,1299,1364,Individual,Dalí Salvador,Salvador Dalí,Salvador,,Dalí,,,Spanish,1904,1989,"Spanish, 1904–1989",Male,64004109,Q5577,500009365,23738461,http://www.moma.org/collection/artists/1364
101,2117,2206,Individual,Gogh Vincent van,Vincent van Gogh,Vincent,,van Gogh,,,Dutch,1853,1890,"Dutch, 1853–1890",Male,9854560,Q5582,500115588,66496439,http://www.moma.org/collection/artists/2206
101,3381,3528,Individual,LeWitt Sol,Sol LeWitt,Sol,,LeWitt,,,American,1928,2007,"American, 1928–2007",Male,84632546,Q168587,500115429,34334776,http://www.moma.org/collection/artists/3528
98,7682,8084,Individual,Szarkowski John,John Szarkowski,John,,Szarkowski,,,American,1925,2007,"American, 1925–2007",Male,110959125,Q1381389,500125639,72745198,http://www.moma.org/collection/artists/8084
98,1476,1547,Individual,Dine Jim,Jim Dine,Jim,,Dine,,,American,1935,,"American, born 1935",Male,61562057,Q531234,500028463,32063015,http://www.moma.org/collection/artists/1547
98,4854,5053,Individual,Rouault Georges,Georges Rouault,Georges,,Rouault,,,French,1871,1958,"French, 1871–1958",Male,16857,Q156128,500024798,72191870,http://www.moma.org/collection/artists/5053
95,637,665,Individual,Bonnard Pierre,Pierre Bonnard,Pierre,,Bonnard,,,French,1867,1947,"French, 1867–1947",Male,66499977,Q26408,500115555,71566403,http://www.moma.org/collection/artists/665
95,3967,4126,Individual,Motherwell Robert,Robert Motherwell,Robert,,Motherwell,,,American,1915,1991,"American, 1915–1991",Male,100187143,Q165275,500016415,69227963,http://www.moma.org/collection/artists/4126
90,27038,3048,Individual,Kelly Ellsworth,Ellsworth Kelly,Ellsworth,,Kelly,,,,1923,,,Male,22150762,Q544899,500004975,12014015,http://www.moma.org/collection/artists/3048
89,2615,2726,Individual,Hopper Edward,Edward Hopper,Edward,,Hopper,,,American,1882,1967,"American, 1882–1967",Male,32101533,Q203401,500031212,44682311,http://www.moma.org/collection/artists/2726
88,3065,3197,Individual,Kokoschka Oskar,Oskar Kokoschka,Oskar,,Kokoschka,,,Austrian,1886,1980,"Austrian, 1886–1980",Male,31998450,Q154260,500024536,58794659,http://www.moma.org/collection/artists/3197
87,708,738,Individual,Brancusi Constantin,Constantin Brancusi,Constantin,,Brancusi,,,French,1876,1957,"French, born Romania. 1876–1957",Male,71387926,Q153048,500016157,31933736,http://www.moma.org/collection/artists/738
87,5681,5910,Individual,Toulouse-Lautrec Henri de,Henri de Toulouse-Lautrec,Henri de,,Toulouse-Lautrec,,,French,1864,1901,"French, 1864–1901",Male,32003649,Q82445,500029114,57796407,http://www.moma.org/collection/artists/5910
87,5578,5804,Individual,Tanguy Yves,Yves Tanguy,Yves,,Tanguy,,,American,1900,1955,"American, born France. 1900–1955",Male,66481523,Q164720,500125870,52287680,http://www.moma.org/collection/artists/5804
86,3081,3213,Individual,de Kooning Willem,Willem de Kooning,Willem,,de Kooning,,,American,1904,1997,"American, born the Netherlands. 1904–1997",Male,19676467,Q132305,500000974,62535964,http://www.moma.org/collection/artists/3213
86,5090,5293,Individual,Schwitters Kurt,Kurt Schwitters,Kurt,,Schwitters,,,German,1887,1948,"German, 1887–1948",Male,27071479,Q155158,500026542,32313373,http://www.moma.org/collection/artists/5293
85,5419,5640,Individual,Stella Frank,Frank Stella,Frank,,Stella,,,American,1936,,"American, born 1936",Male,95807455,Q375268,500020533,17532364,http://www.moma.org/collection/artists/5640
83,5152,5358,Individual,Seurat Georges-Pierre,Georges-Pierre Seurat,Georges-Pierre,,Seurat,,,French,1859,1891,"French, 1859–1891",Male,24608076,Q34013,500008873,13461258,http://www.moma.org/collection/artists/5358
82,1751,1832,Individual,Feininger Lyonel,Lyonel Feininger,Lyonel,,Feininger,,,American,1871,1956,"American, 1871–1956",Male,49225327,Q158255,500115308,65411756,http://www.moma.org/collection/artists/1832
82,4822,5021,Individual,Rosenquist James,James Rosenquist,James,,Rosenquist,,,American,1933,,"American, born 1933",Male,90661691,Q448845,500021855,36799318,http://www.moma.org/collection/artists/5021
81,8274,8762,Individual,Drexler Arthur,Arthur Drexler,Arthur,,Drexler,,,American,1921,1987,"American, 1921–1987",Male,73926436,,,11443286,http://www.moma.org/collection/artists/8762
81,1346,1412,Individual,Davis Stuart,Stuart Davis,Stuart,,Davis,,,American,1892,1964,"American, 1892–1964",Male,49262338,Q704588,500115507,70505717,http://www.moma.org/collection/artists/1412
80,1398,1465,Individual,Degas Hilaire-Germain-Edgar,Hilaire-Germain-Edgar Degas,Hilaire-Germain-Edgar,,Degas,,,French,1834,1917,"French, 1834–1917",Male,41863744,Q46373,500115194,48780940,http://www.moma.org/collection/artists/1465
80,3419,3569,Individual,Lissitzky El,El Lissitzky,El,,Lissitzky,,,Russian,1890,1941,"Russian, 1890–1941",Male,41890867,Q152233,500015156,422564,http://www.moma.org/collection/artists/3569
80,3880,4038,Individual,Modigliani Amedeo,Amedeo Modigliani,Amedeo,,Modigliani,,,Italian,1884,1920,"Italian, 1884–1920",Male,17232808,Q120993,500026509,15847583,http://www.moma.org/collection/artists/4038
79,680,710,Individual,Bourgeois Louise,Louise Bourgeois,Louise,,Bourgeois,Louise Bourgeois Studio,,American,1911,2010,"American, born France. 1911–2010",Female,19782417,Q159409,500057350,64826857,http://www.moma.org/collection/artists/710
78,6043,6329,Individual,Weston Edward,Edward Weston,Edward,,Weston,,,American,1886,1958,"American, 1886–1958",Male,22173983,Q346988,500003372,64373521,http://www.moma.org/collection/artists/6329
77,3913,4071,Individual,Moore Henry,Henry Moore,Henry,,Moore,,,British,1898,1986,"British, 1898–1986",Male,32000652,Q151097,500032596,64814065,http://www.moma.org/collection/artists/4071
76,3950,4108,Individual,Morris Robert,Robert Morris,Robert,,Morris,,,American,1931,,"American, born 1931",Male,84633254,Q465168,500020041,61657779,http://www.moma.org/collection/artists/4108
75,1698,1777,Individual,Evans Walker,Walker Evans,Walker,,Evans,,,American,1903,1975,"American, 1903–1975",Male,39376620,Q363308,500012076,46012163,http://www.moma.org/collection/artists/1777
74,3617,3770,Individual,Marin John,John Marin,John,,Marin,,,American,1870,1953,"American, 1870–1953",Male,74649315,Q666171,500115368,31880328,http://www.moma.org/collection/artists/3770
74,4887,5086,Individual,Ruscha Edward,Edward Ruscha,Edward,,Ruscha,,,American,1937,,"American, born 1937",Male,54182318,Q430967,500024159,12683816,http://www.moma.org/collection/artists/5086
74,4157,4327,Individual,Nolde Emil,Emil Nolde,Emil,,Nolde,,,German,1867,1956,"German, 1867–1956",Male,37040576,Q152788,500003109,63486679,http://www.moma.org/collection/artists/4327
73,52,53,Individual,Acconci Vito,Vito Acconci,Vito,,Acconci,,,American,1940,,"American, born 1940",Male,95770120,Q433471,500014538,49687979,http://www.moma.org/collection/artists/53
73,3413,3563,Individual,Lipchitz Jacques,Jacques Lipchitz,Jacques,,Lipchitz,,,American,1891,1973,"American, born Lithuania. 1891–1973",Male,17231680,Q380426,500015743,66059790,http://www.moma.org/collection/artists/3563
72,26923,18388,Individual,Castleman Riva,Riva Castleman,Riva,,Castleman,,,American,1930,2014,"American, 1930–2014",Female,61627489,Q18030446,,,
71,515,540,Individual,Beuys Joseph,Joseph Beuys,Joseph,,Beuys,,,German,1921,1986,"German, 1921–1986",Male,14782352,Q153965,500024607,19218433,http://www.moma.org/collection/artists/540
71,3281,3426,Individual,Le Corbusier (Charles-Édouard Jeanneret),Le Corbusier (Charles-Édouard Jeanneret),,,Le Corbusier (Charles-Édouard Jeanneret),,,French,1887,1965,"French, born Switzerland. 1887–1965",Male,56612471,Q4724,500027041,67314150,http://www.moma.org/collection/artists/3426
70,4747,4942,Individual,Rivera Diego,Diego Rivera,Diego,,Rivera,,,Mexican,1886,1957,"Mexican, 1886–1957",Male,59099198,Q171128,500025126,33634057,http://www.moma.org/collection/artists/4942
69,596,624,Individual,Boccioni Umberto,Umberto Boccioni,Umberto,,Boccioni,,,Italian,1882,1916,"Italian, 1882–1916",Male,51685971,Q152797,500012624,10508373,http://www.moma.org/collection/artists/624
69,4004,4164,Individual,Munch Edvard,Edvard Munch,Edvard,,Munch,,,Norwegian,1863,1944,"Norwegian, 1863–1944",Male,61624802,Q41406,500032949,59304881,http://www.moma.org/collection/artists/4164
69,3558,3710,Individual,Malevich Kazimir,Kazimir Malevich,Kazimir,,Malevich,,,Russian,1878,1935,"Russian, born Ukraine. 1878–1935",Male,14773228,Q130777,500004959,31412366,http://www.moma.org/collection/artists/3710
69,5595,5821,Individual,Tchelitchew Pavel,Pavel Tchelitchew,Pavel,,Tchelitchew,,,American,1898,1957,"American, born Russia. 1898–1957",Male,14991184,Q2361741,500004010,66554496,http://www.moma.org/collection/artists/5821
69,4253,4430,Individual,Orozco José Clemente,José Clemente Orozco,José,Clemente,Orozco,,,Mexican,1883,1949,"Mexican, 1883–1949",Male,17267526,Q332041,500012316,4358274,http://www.moma.org/collection/artists/4430
68,6846,7166,Individual,Mies van der Rohe Ludwig,Ludwig Mies van der Rohe,Ludwig,,Mies van der Rohe,,,American,1886,1969,"American, born Germany. 1886–1969",Male,95153318,Q41508,500006293,58070735,http://www.moma.org/collection/artists/7166
68,2161,2252,Individual,Gorky Arshile,Arshile Gorky,Arshile,,Gorky,,,American,1904,1948,"American, born Armenia. 1904–1948",Male,22150791,Q165648,500021392,2099629,http://www.moma.org/collection/artists/2252
68,5917,6194,Individual,Vuillard Édouard,Édouard Vuillard,Édouard,,Vuillard,,,French,1868,1940,"French, 1868–1940",Male,17397031,Q239394,500014954,60485094,http://www.moma.org/collection/artists/6194
66,2569,2678,Individual,Hockney David,David Hockney,David,,Hockney,,,British,1937,,"British, born 1937",Male,103648062,Q159907,500017273,20752960,http://www.moma.org/collection/artists/2678
66,18,19,Individual,Artschwager Richard,Richard Artschwager,Richard,,Artschwager,,,American,1923,2013,"American, 1923–2013",Male,96536487,Q568262,500114981,74409993,http://www.moma.org/collection/artists/19
66,5267,5480,Individual,Smith David,David Smith,David,,Smith,,,American,1906,1965,"American, 1906–1965",Male,4989320,Q726169,500015402,17087051,http://www.moma.org/collection/artists/5480
