CountofExhibtions,ID,MoMACEMSID,ConstituentType,AlphaSortName,DisplayName,FirstName,MiddleName,LastName,Institution,Suffix,Nationality,BeginYear,EndYear,DisplayBio,Gender,VIAFID,WikidataQID,ULANID,SNACID,URL
55,889,924,Individual,Callahan Harry,Harry Callahan,Harry,,Callahan,,,American,1912,1999,"American, 1912–1999",Male,2550158,Q1383354,500000873,35378663,http://www.moma.org/collection/artists/924
55,4154,4324,Individual,Noguchi Isamu,Isamu Noguchi,Isamu,,Noguchi,,,American,1904,1988,"American, 1904–1988",Male,56659032,Q442628,500008602,25225613,http://www.moma.org/collection/artists/4324
55,4116,4285,Individual,Newman Barnett,Barnett Newman,Barnett,,Newman,,,American,1905,1970,"American, 1905–1970",Male,19686304,Q374504,500000960,40735954,http://www.moma.org/collection/artists/4285
55,5890,6165,Individual,Villon Jacques,Jacques Villon,Jacques,,Villon,,,French,1875,1963,"French, 1875–1963",Male,32004174,Q452254,500003616,26336398,http://www.moma.org/collection/artists/6165
54,59,60,Individual,Adams Ansel,Ansel Adams,Ansel,,Adams,,,American,1902,1984,"American, 1902–1984",Male,61625857,Q60809,500026108,62701909,http://www.moma.org/collection/artists/60
54,5994,6275,Individual,Weber Max,Max Weber,Max,,Weber,,,American,1881,1961,"American, born Russia. 1881–1961",Male,41883358,Q535334,500029261,15762526,http://www.moma.org/collection/artists/6275
53,1186,1243,Individual,Corinth Lovis,Lovis Corinth,Lovis,,Corinth,,,German,1858,1925,"German, 1858–1925",Male,15044719,Q157610,500115384,10850395,http://www.moma.org/collection/artists/1243
53,1892,1973,Individual,Frank Robert,Robert Frank,Robert,,Frank,,,American,1924,,"American, born Switzerland 1924",Male,95803661,Q467574,500019916,24503097,http://www.moma.org/collection/artists/1973
53,5819,6076,Individual,Doesburg Theo van,Theo van Doesburg (Christian Emil Marie Küpper),Theo van,,Doesburg,,,Dutch,1883,1931,"Dutch, 1883–1931",Male,39646290,Q160422,500007926,4255328,http://www.moma.org/collection/artists/6076
53,4781,4978,Individual,Rodin Auguste,Auguste Rodin,Auguste,,Rodin,,,French,1840,1917,"French, 1840–1917",Male,36923874,Q30755,500016619,31674344,http://www.moma.org/collection/artists/4978
53,5183,5392,Individual,Sherman Cindy,Cindy Sherman,Cindy,,Sherman,,,American,1954,,"American, born 1954",Female,96462178,Q229455,500104869,20456044,http://www.moma.org/collection/artists/5392
52,26969,18500,Individual,Galassi Peter,Peter Galassi,Peter,,Galassi,,,American,1951,,"American, born 1951",,71438918,,,,
52,591,617,Individual,Blume Peter,Peter Blume,Peter,,Blume,,,American,1906,1992,"American, 1906–1992",Male,65497511,Q2990693,500028254,29789052,http://www.moma.org/collection/artists/617
52,1068,1114,Individual,Christo (Christo Javacheff),Christo (Christo Javacheff),,,Christo (Christo Javacheff),,,American,1935,,"American, born Bulgaria 1935",Male,102316487,Q14633979,500115266,22746998,http://www.moma.org/collection/artists/1114
52,213,229,Individual,Atget Eugène,Eugène Atget,Eugène,,Atget,,,French,1857,1927,"French, 1857–1927",Male,6700,Q322030,500008199,19866375,http://www.moma.org/collection/artists/229
52,1571,1646,Individual,Dufy Raoul,Raoul Dufy,Raoul,,Dufy,,,French,1877,1953,"French, 1877–1953",Male,56661160,Q45205,500024166,31601794,http://www.moma.org/collection/artists/1646
51,3157,3296,Individual,Kuniyoshi Yasuo,Yasuo Kuniyoshi,Yasuo,,Kuniyoshi,,,American,1889,1953,"American, 1889–1953",Male,13102247,Q3571991,500023210,75611857,http://www.moma.org/collection/artists/3296
51,345,366,Individual,Baselitz Georg,Georg Baselitz,Georg,,Baselitz,,,German,1938,,"German, born 1938",Male,100903160,Q164775,500045683,37767318,http://www.moma.org/collection/artists/366
51,837,870,Individual,Burchfield Charles,Charles Burchfield,Charles,,Burchfield,,,American,1893,1967,"American, 1893–1967",Male,34533792,Q3349279,500015189,44328035,http://www.moma.org/collection/artists/870
51,3163,3302,Individual,Kupka František,František Kupka,František,,Kupka,,,Czech,1871,1957,"Czech, 1871–1957",Male,82932466,Q167414,500006023,62932556,http://www.moma.org/collection/artists/3302
51,5464,5685,Individual,Strand Paul,Paul Strand,Paul,,Strand,,,American,1890,1976,"American, 1890–1976",Male,88714260,Q453839,500003133,29550684,http://www.moma.org/collection/artists/5685
51,3540,3692,Individual,Magritte René,René Magritte,René,,Magritte,,,Belgian,1898,1967,"Belgian, 1898–1967",Male,69008939,Q7836,500022967,76547459,http://www.moma.org/collection/artists/3692
51,4422,4607,Individual,Picabia Francis,Francis Picabia,Francis,,Picabia,,,French,1879,1953,"French, 1879–1953",Male,36923084,Q157321,500006325,26970875,http://www.moma.org/collection/artists/4607
50,27083,19286,Individual,Miller Dorothy C.,Dorothy C. Miller,Dorothy,Canning,Miller,,,American,1904,2003,"American, 1904–2003",Female,111290627,Q5298349,500322604,,
50,376,399,Individual,Bayer Herbert,Herbert Bayer,Herbert,,Bayer,,,American,1900,1985,"American, born Austria. 1900–1985",Male,39524327,Q213637,500009369,73874654,http://www.moma.org/collection/artists/399
50,5241,5454,Individual,Siqueiros David Alfaro,David Alfaro Siqueiros,David,Alfaro,Siqueiros,,,Mexican,1896,1974,"Mexican, 1896–1974",Male,61588351,Q315647,500008908,39812535,http://www.moma.org/collection/artists/5454
49,4364,4548,Individual,Penn Irving,Irving Penn,Irving,,Penn,,,American,1917,2009,"American, 1917–2009",Male,44303589,Q318604,500016471,69237550,http://www.moma.org/collection/artists/4548
48,5420,5641,Individual,Stella Joseph,Joseph Stella,Joseph,,Stella,,,American,1877,1946,"American, 1877–1946",Male,34573018,Q1347418,500032250,56005188,http://www.moma.org/collection/artists/5641
47,3184,3325,Individual,La Fresnaye Roger de,Roger de La Fresnaye,Roger de,,La Fresnaye,,,French,1885,1925,"French, 1885–1925",Male,39427207,Q718882,500013022,51402532,http://www.moma.org/collection/artists/3325
47,6110,6399,Individual,Winogrand Garry,Garry Winogrand,Garry,,Winogrand,,,American,1928,1984,"American, 1928–1984",Male,114228586,Q121903,500014550,1274915,http://www.moma.org/collection/artists/6399
47,4678,4869,Individual,Renoir Pierre-Auguste,Pierre-Auguste Renoir,Pierre-Auguste,,Renoir,,,French,1841,1919,"French, 1841–1919",Male,29643005,Q39931,500115467,56831101,http://www.moma.org/collection/artists/4869
47,6167,6459,Individual,Wright Frank Lloyd,Frank Lloyd Wright,Frank,Lloyd,Wright,,,American,1867,1959,"American, 1867–1959",Male,27148716,Q5604,500020307,64375248,http://www.moma.org/collection/artists/6459
47,3374,3520,Individual,Levitt Helen,Helen Levitt,Helen,,Levitt,,,American,1913,2009,"American, 1913–2009",Female,100257307,Q242849,500059803,28369006,http://www.moma.org/collection/artists/3520
46,26894,304,Individual,Baldessari John,John Baldessari,John,,Baldessari,,,,,,,Male,51819124,Q683378,500098854,45038238,http://www.moma.org/collection/artists/304
46,161,174,Individual,Andre Carl,Carl Andre,Carl,,Andre,,,American,1935,,"American, born 1935",Male,100954627,Q315348,500011651,76073193,http://www.moma.org/collection/artists/174
46,3019,3147,Individual,Klimt Gustav,Gustav Klimt,Gustav,,Klimt,,,Austrian,1862,1918,"Austrian, 1862–1918",Male,7399081,Q34661,500030531,56800986,http://www.moma.org/collection/artists/3147
46,737,769,Individual,Breuer Marcel,Marcel Breuer,Marcel,,Breuer,,,American,1902,1981,"American, born Hungary. 1902–1981",Male,9899554,Q57588,500118800,62117685,http://www.moma.org/collection/artists/769
